"Work_Geo_Short" "Res_Geo_Short" "Year" "Total" "Drove.alone" "X2.person.carpool" "X3.person.carpool" "X4.person.carpool" "X5.or.6.person.carpool" "X7.or.more.person.carpool" "Bus" "Streetcar.or.trolley" "Subway" "Railroad" "Ferry" "Bicycle" "Walked" "Taxi" "Motorcycle" "Other" "Worked.at.home" "Source" "src" "dst"
"Contra Costa" "Madera" 2016 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 20 7
"Contra Costa" "Humboldt" 2016 20 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 12 7
"Contra Costa" "Yuba" 2016 20 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 58 7
"Contra Costa" "Tulare" 2016 30 25 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 54 7
"Contra Costa" "Placer" 2016 540 475 25 0 0 0 0 0 0 0 40 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 31 7
"Contra Costa" "Los Angeles" 2016 375 305 10 0 0 0 0 0 0 0 0 0 0 10 0 0 50 0 "CTPP_A302103_5YR_2016" 19 7
"Contra Costa" "Lake" 2016 15 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 17 7
"Contra Costa" "Riverside" 2016 85 85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 33 7
"Contra Costa" "Fresno" 2016 70 60 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 "CTPP_A302103_5YR_2016" 10 7
"Contra Costa" "El Dorado" 2016 275 235 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "CTPP_A302103_5YR_2016" 9 7
"Contra Costa" "San Bernardino" 2016 55 40 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 "CTPP_A302103_5YR_2016" 36 7
